,Emotion,URLs,color
0,nostalgic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiQWr0Hof7q5g-iK1JxsTotq8KEEAR4-PnwVCrPv-GCvi8tkHOaL_dTHnyKg&s,"(221, 178, 180)"
1,nostalgic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSR30SEp5SjhbwZ_l5UjXNUuztzS6i6_janNmTuRbG47-kzT2lLkylj8qZr9A&s,"(171, 172, 150)"
2,nostalgic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgqQcEDzufZ6URMQeKEnJhGWlaT1jExKCOutlp8pXBy0nvpN1odGV7M4zJlw&s,"(183, 168, 127)"
3,nostalgic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSifT-Wxtq6T4BCGEvlSX-U84PDfgYfi3EydOuVVB_u74SlJ05zLGM3dRJTyaw&s,"(133, 116, 42)"
4,nostalgic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_MT4wyzwq-DpqNuqdkKYiw0Prm3j7axbDPi7HBRaLGyylT0iLDTLv2lEsLw&s,"(240, 206, 74)"
5,nostalgic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwUh3ASzafbJpDr0Bg7YaEpqn7ifM3l2f-_3RVnwC61MPkK-bS3PqsUQ7yqm0&s,"(113, 78, 74)"
6,nostalgic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAgs6mj7n6fqku2EmDpLhycJTORfkKtctqn7tePn6cF0I_p-v9i5x2avXRJr8&s,"(204, 208, 216)"
7,nostalgic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl1MsZL0B1A1xYaeqffcrIy016ZrM-LxTNP3iRNpkSxPbNnjtDjb5qAkwks_4&s,"(236, 193, 118)"
8,nostalgic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7ZyzWrV7R44_KcfGn1YOFvalP4w3veIexfM2Fg76EROnkIJl2YLZ-NmHS3g&s,"(55, 37, 35)"
9,nostalgic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAqGeohIAi2IxDvXwD8Z6hV3pdk9mbBsjV0RMuE6mc0fJHsytebYhEVIrITRw&s,"(209, 204, 200)"
