Emotion,URLs
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQrmlnZf9A-L1mGafz75RRBtOgKS4OhVdHsvFw6uglcw2hatlMzNKXP-p4gQ&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTr5iIvca8I5bH8GKFohhEYZ2hIP2t47udp9FioniA-0232rwPj0LsdAtk3Qg&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaAsgcSOvsHDOeYXreZbya0LoQVf8qVX2lJJDmFl6lUUmSw2XkFJvmKsFykw&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQV0iFTDipYvhg9GObg6jM47sKtqohXtClED7t_dEzmL9K4qIe5HXdllz9lqN0&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTs6Z1W72hk1M6ZRYziX14ZrVp3aWnjcn_cTt-wlowBpDhqFm_vULdFr9svyTM&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6EyxWZ8czzIkgO1BcM5CBBsIpixY7unmKAlY4HkwkYcgBHZe_RexB8dWg_gA&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTFb7f0L5PhOix1gBZehccfOPAl4cjEA9SfFm0hspHSN_LogJv4kDccWZpDg&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuhuwwQexjnG6dlY30-9cJsQPvtmdUZFA1d7ZXBknnFaf3b68x2Vz_3i-oTZ8&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHw2TWpSdfPMpEvJqPBMI7ZBVJzUUF69rfv-aowHk41jIGE0ak1DjR_staP_Y&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkRfKltC83Tv-YQ31O9qIqBC1412Tc5GPUE4a-2VkUgdcoDYjcMdfAmP8Y9Vs&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLjnKbPLGjjtmnqnaibb2OYlqBy3hz4cvFc06BDTHWwIAeCJCV6V7pxhLacFY&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGXSy6kuao5B2cL_CV5QbygDyLKySthEMmqljQ7ZvQ7SBHPGjCNA2G9nYBXvc&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShejxie8BMnR9joonlwHNvRw7HpruBWAQhW69hJkM-xMJ5HeafciYwp9uEtw&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCftlBvbd86RB-mez0tAk7mVwEdSUj5hz6acTXsxob4ffUuplgEZhTiZHP0JI&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVEyT0neH34JO4sbnNV3QIqH-88jXws0_hcvRQ-Ta6mPwKSrZb1SJDk-e13d4&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqf2rbWCmUwzFsSUsnbV3cyupBP0_E2GL3x5DBAL6hVzN07g24XY-5UrOh0Q&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8jm3Tdn4xrtSvwbIInH5ATs_HEWhIBsA-j82C0dzZ2D9MevGq2AN4TR0WICA&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHE07TOmYmJTwrlVYOF0EQZlwGrSkUHlBTzRSx17ET9dX_6MMJIFfBT0npUpw&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStCV8IjrPrcL25RnYNnzszE8WM3ZhJsHTyPVRwSqD7WdVJWlTODwVerQSXMw&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKqkfoGu_LnwAXPBZDMqmdOPGJcvxlewB2sGsKDccLnHJK9AMq2XaYvtPtOkA&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSMv3Km5xIEPA-skYyZzfZ9mm98IDIjoC8QQEbYdAQ6rBIvewGSkzTngJJyr0&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnHMNipc-lBVOVW0Ih06OJ4264SwVsTIGmXddN4UoBI2zajNES9cGiPh7ggg&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_TkAhqPwtj0htUmyxUQ78TUIXsMywnp6szQFv24f5t8PfYSz7n3C17vImSYY&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRL9FrNPitYvmuYzhg5WPVAEu3fRfWzOG1PX-PCuevqmRK4hncObvU2kAsGmt4&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQr7NUDfay67ucbg-TpFXruCcEVjTowIfkRAPDa5wHnHmpnbKJKAfxfUyHQ4Q&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSONswaPKJr_Gs7oWOwJ2oO3-DljQJquZ2dnTGrFHQl_uJtsCHkdwnKt_RGcQ&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-GeNrmF82ZIKFFHvZDIcXa9z-dTaIy_jWlvaI33H9VvdLVK3sus9ZbL8sJQ&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNpVBk2i7AqM4mMrlfaRzhnkeJ2KaUj5KjnsRuojoUEZpKPAO5HZAlGJJbWJ4&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1S0Fc11tgO4YJhgrToHK8Sj1BbzcoR-RrZSk4aLb6yNXZRL3wDrs1YNoXrt0&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjzJTeksl7tHHQO93dRhiKWxf1uqZQ_2idXZZ3ARxCBmuNT4xwapUSpiw6vQ&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFh_OZ9KdZ5JvjsTQMeZMIhtf_31I4ZaoNzRw3lTztOYbvTveJ8OysziCUJg&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzypNH_ARe3bPKaAj_diwhhnqgrEnze5EzMCaD8nFR70b71998sHUqY6mdFQ&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRuEOHrxqf5eK8RHWX8UWLpo6clw2rzWnt9zmUIQsijuQpsI-1rxuniIZCDg&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7qaNaijKrol1d-1NsZ8CZscjyQs4Xh2ziQ6SIlYmvSPNIwcATmKOP0TJJaA&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoVpuHojf4ZBxCxYSD1hcT0LSzSXqyDNPN7fjvutFpmxmAaxDsEtXVxVOrcBQ&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9unC2QmpQ40gqliNtOcPSk1zsJ4BA-PjVSsokhpezA1KZhZpgUTkkItzPWhg&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSS0kdJPZ5zoJG_DCXnbrzox9Qkp10MyF7_BYkKPACpfdBsG_DZgcOfNjogw&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsf-Wg1O90cd_xnXaXcG3fp1NVfdq-zYo3s07TZ7CAUqdz94fCFXcL4JoHaA&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2eUZ5orjDRGnKhjWjjmKZssJrkuFRghI_xzpR14VIyP5DsBiS3gRgI2Nj7Q&s
angry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT55xsH5ZBXr80NvmvrHFuCiP1bTEHcTgMlZ9U02Lui2qTvgZC0r5Q1YKy-MOI&s
peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwYtlAwfCdeQvA9tzptg4aTUz9sYuE93yDTcLWHAS_RPNzrCWhmBHHF3Xu2A&s
peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgv8EaRPld35yOSHVqQKWVDIYcvg07kW9-s958skhhT8C2EJ1AQOYuJ5Z6yA&s
peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVWoNtxUoICqhtds9szq00pQcPk5fHo0_bIVsf6O_8wN1uovu_1iB0G6YuQx0&s
peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxw4F9AU1T1clfWyXM0rytKJpwuEhSxIQTgf-J-KC0Otc3mD8lMw2jySiWFBI&s
