,Emotion,URLs,color
0,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQF7jXHBhVKyr0C5bUdaXC7rKs5rj7EazFu3RDsADP0VES0WPpmFgLMtF4HwA&s,"(123, 122, 121)"
1,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTx3tebApK-GSoliBABo6ng88CMpeyxNOCxPZVvjtzVjQhdKJ_b_bLOtM9VNw&s,"(41, 41, 50)"
2,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVcfno3xPENVUHADhyet9NbEjENUyUA66IWUuWYaLOd48SR2m1PRmvtnziplY&s,"(185, 155, 120)"
3,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQX-T45jX7ZJw3gdeBg8GJpBkpjq7jZkm2m_X8jMsMySzU5whUpCZDud5TUjUM&s,"(52, 55, 61)"
4,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnges0lsLjFVhOZuAoGjn2rK9dNTNDLP_DJw5rO5vkbsIOk5O-KleGinjBm1A&s,"(80, 97, 124)"
5,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8VmMemPcTfCxgxfE47dtsU6fSiHuukkuCgQjPK2RCqG-vbEyENo2Mg1KnpQ&s,"(55, 61, 59)"
6,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnKWcXNC8NFtn7VAMfxJ979xPeFUgRp5Sfq9giTGezQBUn-ivXYBTdxQ92ti0&s,"(34, 53, 67)"
7,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS16vXxyBXWy0zc37B5x0HUVastUXYrD9Zf-_qJQTDVRO5ZSBF7JytSO9R-MsI&s,"(192, 210, 214)"
8,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZ1PrKwhH2RzGaLFex6vjXsKTo6NVJ5L8A9daj-Bey1eFmpCREivLvd6rbzQ&s,"(65, 47, 26)"
9,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSo34D0lqng7w1jZBwCGibsh6jNit9T59T8VV6hquIlGmBWj4JLN0y1L2i9ug&s,"(34, 31, 25)"
10,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTe9bTOA-kEo8zFgtWMxSmCiytx1y6ofcoXZz214HgCQ7NVUK2BS1E-85X3Aw&s,"(15, 40, 49)"
11,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMF31CdH7HZwOd5eI8IQr8QdWHhK3oQcfHrx-jsczVBDB2b3wp5r3yn6s88F8&s,"(234, 197, 80)"
12,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrxMOAp8-iUhpfqLtiIolQo7-III6GzS4mT3M85pwd3OtuBgX6XNkjITDB-g&s,"(82, 88, 99)"
13,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBLWMox0d_EUKBfOJTpbHfs7gGud2Grif14wtzxSqMbSVOWbLuAXV16kDxpQ&s,"(21, 22, 24)"
14,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDv3ppWLpqWyKBOwIryOcAGOjhnFPvZjBmBY0tYxvm1fI8cZ5pCIq4e-qYhA&s,"(31, 33, 36)"
15,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSL_C1dSLMKeoZYmFLs_kWk-eLThw2MeJMPQM334QrowfpEoTkoLonnoVn0N-4&s,"(239, 179, 46)"
16,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsO6Q6eMjGkersSkdJvJhn7jcmALhiHJrXl0TgE_aGwZFCIz5iEF1bU28yXg&s,"(169, 167, 143)"
17,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_WJWWT25o8ZO-MB9uQT9uTcw1IVur1zHQMR2vj9xilhWVQcYkuysg2y0rpwc&s,"(104, 141, 174)"
18,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRT4CSBVau-KKLs02CAjEZu3PWSGHIDGB8wCk9SEBySawWhl9yVr-2gzRjGtK4&s,"(107, 107, 107)"
19,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0LebI8BoS6IEVi8vwY0kE3_d1Da004Mc9Z-2p68zIj-DXpMrAxkOOF4wV94Y&s,"(51, 84, 87)"
20,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwYtlAwfCdeQvA9tzptg4aTUz9sYuE93yDTcLWHAS_RPNzrCWhmBHHF3Xu2A&s,"(66, 54, 45)"
21,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVWoNtxUoICqhtds9szq00pQcPk5fHo0_bIVsf6O_8wN1uovu_1iB0G6YuQx0&s,"(207, 196, 225)"
22,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgv8EaRPld35yOSHVqQKWVDIYcvg07kW9-s958skhhT8C2EJ1AQOYuJ5Z6yA&s,"(201, 206, 217)"
23,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxw4F9AU1T1clfWyXM0rytKJpwuEhSxIQTgf-J-KC0Otc3mD8lMw2jySiWFBI&s,"(138, 158, 182)"
24,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeC0VDzANd_h-_nNyLim8qSYOKEOFsnOg2uH16dUSzsmt1-4IaBZ8FbIODKq8&s,"(215, 181, 172)"
25,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSMfL9RSVb9cU29-q-lpttUv3kdtPskJsCFTAhYcvzbmDWggAYAEvAjo_fHw&s,"(80, 89, 44)"
26,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXfftcSUmRZP-lKYaHcpz0ICFq-Pphb9rdDLNqzKdWn0fyQxs6xshz4wjW9Q&s,"(226, 211, 189)"
27,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1IHpP8wEt19lCptH8IANHDv6iy4qLgkaoeL_WBuTjwqIfeS_AwNn-zxMq2g&s,"(130, 119, 103)"
28,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAzX5j0MnFapRIOTHLlA3Ug83Td4-KoUDbPwU8X8FJOOxziXYbtm4coeF6iT0&s,"(207, 159, 129)"
