G90 ; Use absolute positioning
G21 ; Set units to millimeters
G0 Z1 ; Lift pen
G0 X0.0 Y0.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y0.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y2.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y2.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y4.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y4.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y6.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y6.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y8.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y8.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y10.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y10.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y12.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y12.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y14.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y14.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y16.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y16.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y18.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y18.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y20.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y20.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y22.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y22.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y24.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y24.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y26.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y26.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y28.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y28.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y30.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y30.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y32.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y32.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y34.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y34.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y36.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y36.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y38.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y38.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y40.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y40.0 ; Draw line
G0 Z1 ; Lift pen
G0 X254.0 Y42.0 ; Move to start
G0 Z0 ; Lower pen
G1 X256.0 Y42.0 ; Draw line
