Emotion,URLs
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkRfKltC83Tv-YQ31O9qIqBC1412Tc5GPUE4a-2VkUgdcoDYjcMdfAmP8Y9Vs&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHw2TWpSdfPMpEvJqPBMI7ZBVJzUUF69rfv-aowHk41jIGE0ak1DjR_staP_Y&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTs6Z1W72hk1M6ZRYziX14ZrVp3aWnjcn_cTt-wlowBpDhqFm_vULdFr9svyTM&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGXSy6kuao5B2cL_CV5QbygDyLKySthEMmqljQ7ZvQ7SBHPGjCNA2G9nYBXvc&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaAsgcSOvsHDOeYXreZbya0LoQVf8qVX2lJJDmFl6lUUmSw2XkFJvmKsFykw&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTr5iIvca8I5bH8GKFohhEYZ2hIP2t47udp9FioniA-0232rwPj0LsdAtk3Qg&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6EyxWZ8czzIkgO1BcM5CBBsIpixY7unmKAlY4HkwkYcgBHZe_RexB8dWg_gA&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9ziDV93TJOdU11qdqmdEgISOXy4-BDYMHhne9EKUlT9lpvGllFpTqv_dARA&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTFb7f0L5PhOix1gBZehccfOPAl4cjEA9SfFm0hspHSN_LogJv4kDccWZpDg&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuhuwwQexjnG6dlY30-9cJsQPvtmdUZFA1d7ZXBknnFaf3b68x2Vz_3i-oTZ8&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtxBZNk8exCMfoDooPW_Q2sY9J8iTrs3V7s0Qi6L2CT1pHQz2aSDBpwypeiA&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQP8DXDXxVsTCxLuv4wO5mXQPLeQ-k9sSiC8IK04sBjd642ljlGDW0rY7omDw&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKqkfoGu_LnwAXPBZDMqmdOPGJcvxlewB2sGsKDccLnHJK9AMq2XaYvtPtOkA&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCftlBvbd86RB-mez0tAk7mVwEdSUj5hz6acTXsxob4ffUuplgEZhTiZHP0JI&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLjnKbPLGjjtmnqnaibb2OYlqBy3hz4cvFc06BDTHWwIAeCJCV6V7pxhLacFY&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8jm3Tdn4xrtSvwbIInH5ATs_HEWhIBsA-j82C0dzZ2D9MevGq2AN4TR0WICA&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnoyVnZHS9iU_stjfYOQKhcEdRmD18ON3jKBAXbVGOHOpNFITjrYajUUxHPio&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHE07TOmYmJTwrlVYOF0EQZlwGrSkUHlBTzRSx17ET9dX_6MMJIFfBT0npUpw&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJFHH9SToHEJfUMjZI-cHspAD_fqCrDY6sGfYiHCCqZrwULp6S2WE3Wnq9fg&s
happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqf2rbWCmUwzFsSUsnbV3cyupBP0_E2GL3x5DBAL6hVzN07g24XY-5UrOh0Q&s
afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCGGNY4HnK9NjUesRw_kq0ixo5jUovrHFLpOKoz4q-08vVrenZsM8h_JTAvw&s
afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5klIZCq1J4S97U_pASgglMXWQ1VDerDdf6AeprMQTmPE9d_2dAuetEHiJ9g&s
afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmYZl2YSsz4wXmu3XHmC7dVK5AIpZa0qFb_EA9rfswYeOx85YvAUkinvgTcac&s
afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQY35oY1X9r0CJYuUMy83-jlMuIxhxFB9ZgM9iS_MdISL1ucuMEKm7bzROuw&s
afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4iNpSQyWTtAEuU-q0SXWtmZKk0Qt3H0uwiI_TI1_xKIA0hGOF-aAqHaEQhlw&s
afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0QNIlKdq1OwbL1RE-U3pH5c3wCSgvWklEmsOtezQth9Rl4FtxPbR2bY4PPIs&s
afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNx1w91dozxuU4TQ-cK3Bdn4PohoMYfBJPo2zmnnlLgGaIL94DFp2A-SZ61Q&s
afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQG45XtdtMNUgKVJDlso-_9WcIBMJcCMEnYNGf9lz8IUhKQdwKOQCY9dsdmGLw&s
afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDne7F2LoVGCe3bwMWrEmyY84Rn2BSTQE8IqYgPao9MQPgPUzaSMLuHpaaFA&s
afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRV3sy1U4GTdPXwc1SRcbO9FqSGnk5W_NRJnpV4LnF8B3jScncLr-MMdOv1Sg&s
afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQV3y3h1be3tUIJuosndhpCMCicrZDdZOlHroIea_MUUhuT1ko-MOjk97BSAQ&s
afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_o-7iEqOzGNs08QjEHq4vxkmb8rpE05TG0djX7Dn5QwiJ1FJkz5bCB4bmJQ&s
afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqgaCbD0SdOEh-ncYLaB0RQt8nx6_exdnaEvcetpOPYhb3tgKNxTm85Wn-Og8&s
afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiXGc-r0IA3_8szUq9tNr34sXoLRYbIKrbgZM1Tcd94paB2nmy16S8cBofvZk&s
