,Emotion,URLs,color
0,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkRfKltC83Tv-YQ31O9qIqBC1412Tc5GPUE4a-2VkUgdcoDYjcMdfAmP8Y9Vs&s,"(123, 59, 147)"
1,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHw2TWpSdfPMpEvJqPBMI7ZBVJzUUF69rfv-aowHk41jIGE0ak1DjR_staP_Y&s,"(12, 111, 182)"
2,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTs6Z1W72hk1M6ZRYziX14ZrVp3aWnjcn_cTt-wlowBpDhqFm_vULdFr9svyTM&s,"(224, 201, 218)"
3,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGXSy6kuao5B2cL_CV5QbygDyLKySthEMmqljQ7ZvQ7SBHPGjCNA2G9nYBXvc&s,"(250, 218, 59)"
4,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaAsgcSOvsHDOeYXreZbya0LoQVf8qVX2lJJDmFl6lUUmSw2XkFJvmKsFykw&s,"(132, 194, 211)"
5,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTr5iIvca8I5bH8GKFohhEYZ2hIP2t47udp9FioniA-0232rwPj0LsdAtk3Qg&s,"(234, 187, 74)"
6,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6EyxWZ8czzIkgO1BcM5CBBsIpixY7unmKAlY4HkwkYcgBHZe_RexB8dWg_gA&s,"(227, 100, 43)"
7,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9ziDV93TJOdU11qdqmdEgISOXy4-BDYMHhne9EKUlT9lpvGllFpTqv_dARA&s,"(241, 241, 233)"
8,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTFb7f0L5PhOix1gBZehccfOPAl4cjEA9SfFm0hspHSN_LogJv4kDccWZpDg&s,"(181, 170, 137)"
9,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuhuwwQexjnG6dlY30-9cJsQPvtmdUZFA1d7ZXBknnFaf3b68x2Vz_3i-oTZ8&s,"(173, 133, 111)"
10,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtxBZNk8exCMfoDooPW_Q2sY9J8iTrs3V7s0Qi6L2CT1pHQz2aSDBpwypeiA&s,"(221, 212, 48)"
11,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQP8DXDXxVsTCxLuv4wO5mXQPLeQ-k9sSiC8IK04sBjd642ljlGDW0rY7omDw&s,"(50, 166, 209)"
12,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKqkfoGu_LnwAXPBZDMqmdOPGJcvxlewB2sGsKDccLnHJK9AMq2XaYvtPtOkA&s,"(248, 186, 22)"
13,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCftlBvbd86RB-mez0tAk7mVwEdSUj5hz6acTXsxob4ffUuplgEZhTiZHP0JI&s,"(20, 12, 9)"
14,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLjnKbPLGjjtmnqnaibb2OYlqBy3hz4cvFc06BDTHWwIAeCJCV6V7pxhLacFY&s,"(213, 158, 17)"
15,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8jm3Tdn4xrtSvwbIInH5ATs_HEWhIBsA-j82C0dzZ2D9MevGq2AN4TR0WICA&s,"(212, 201, 193)"
16,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnoyVnZHS9iU_stjfYOQKhcEdRmD18ON3jKBAXbVGOHOpNFITjrYajUUxHPio&s,"(243, 195, 12)"
17,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHE07TOmYmJTwrlVYOF0EQZlwGrSkUHlBTzRSx17ET9dX_6MMJIFfBT0npUpw&s,"(197, 120, 13)"
18,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJFHH9SToHEJfUMjZI-cHspAD_fqCrDY6sGfYiHCCqZrwULp6S2WE3Wnq9fg&s,"(160, 219, 221)"
19,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqf2rbWCmUwzFsSUsnbV3cyupBP0_E2GL3x5DBAL6hVzN07g24XY-5UrOh0Q&s,"(18, 204, 238)"
20,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCGGNY4HnK9NjUesRw_kq0ixo5jUovrHFLpOKoz4q-08vVrenZsM8h_JTAvw&s,"(220, 82, 71)"
21,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5klIZCq1J4S97U_pASgglMXWQ1VDerDdf6AeprMQTmPE9d_2dAuetEHiJ9g&s,"(155, 210, 220)"
22,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmYZl2YSsz4wXmu3XHmC7dVK5AIpZa0qFb_EA9rfswYeOx85YvAUkinvgTcac&s,"(15, 22, 15)"
23,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQY35oY1X9r0CJYuUMy83-jlMuIxhxFB9ZgM9iS_MdISL1ucuMEKm7bzROuw&s,"(206, 231, 228)"
24,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4iNpSQyWTtAEuU-q0SXWtmZKk0Qt3H0uwiI_TI1_xKIA0hGOF-aAqHaEQhlw&s,"(218, 209, 206)"
25,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0QNIlKdq1OwbL1RE-U3pH5c3wCSgvWklEmsOtezQth9Rl4FtxPbR2bY4PPIs&s,"(67, 65, 58)"
26,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNx1w91dozxuU4TQ-cK3Bdn4PohoMYfBJPo2zmnnlLgGaIL94DFp2A-SZ61Q&s,"(186, 143, 130)"
27,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQG45XtdtMNUgKVJDlso-_9WcIBMJcCMEnYNGf9lz8IUhKQdwKOQCY9dsdmGLw&s,"(241, 239, 238)"
28,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDne7F2LoVGCe3bwMWrEmyY84Rn2BSTQE8IqYgPao9MQPgPUzaSMLuHpaaFA&s,"(71, 74, 75)"
29,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRV3sy1U4GTdPXwc1SRcbO9FqSGnk5W_NRJnpV4LnF8B3jScncLr-MMdOv1Sg&s,"(4, 4, 4)"
30,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQV3y3h1be3tUIJuosndhpCMCicrZDdZOlHroIea_MUUhuT1ko-MOjk97BSAQ&s,"(217, 225, 197)"
31,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_o-7iEqOzGNs08QjEHq4vxkmb8rpE05TG0djX7Dn5QwiJ1FJkz5bCB4bmJQ&s,"(81, 75, 92)"
32,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqgaCbD0SdOEh-ncYLaB0RQt8nx6_exdnaEvcetpOPYhb3tgKNxTm85Wn-Og8&s,"(192, 131, 103)"
33,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiXGc-r0IA3_8szUq9tNr34sXoLRYbIKrbgZM1Tcd94paB2nmy16S8cBofvZk&s,"(203, 186, 182)"
34,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqTzJ5t8J7oN9keTwA-eDVsoOsX2mf8b3gkuTCQPsuRdbGosu5mMZ0fx0E0w&s,"(209, 204, 205)"
35,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNtd5644kOSOtucHL_paqk9V05Z1WDTYSK6-mcZweUD8Ft2dApWQX8Q9TpJg&s,"(189, 205, 214)"
36,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbmJNxIQIQaWXO263xFsDLyYDLiUf80eizEExd1efdgMfdLvUUP0IgWyzkjA&s,"(230, 229, 228)"
37,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTALeKumECAzUZznZ9sKwdWJS0p8kU-pTtoH3a5Y19iHEeozC7OJ-oj3z0GEA&s,"(185, 177, 171)"
38,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0JrI_HuidIYkhNlpY7gM6lUorjGw8fJ_L4ZIDN4xNn5dgKCEYfQyikgvCbg&s,"(21, 16, 12)"
39,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvxbunyPynHe2BA0z5SkhKaU-UGc0tnc2r9fEMshgpigJP2iJEGuFfB2qfDQ&s,"(217, 186, 176)"
40,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvKzDs1cuzmTPk0x3zDDUO9oTapyBusJbhg15NtgRR03I9NbEv_x8h5i9uAUI&s,"(66, 54, 44)"
41,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtd5DKugq6Fw-eV8NEpj3PpJVL2rx6nZZUGfq1vO_UfzG2BJlwa75WGkOnguw&s,"(192, 166, 136)"
42,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1IHpP8wEt19lCptH8IANHDv6iy4qLgkaoeL_WBuTjwqIfeS_AwNn-zxMq2g&s,"(130, 119, 103)"
